domain,ip
howellcountynews.com,192.252.158.237
ifpnews.com,104.21.79.55
holanews.com,188.114.99.233
ind-news.in,154.41.233.207
idsnews.com,50.16.124.219
heartlandnewsfeed.com,188.114.96.1
indiandefensenews.in,216.239.32.21
indiarightnownews.com,172.67.211.127
israelnationalnews.com,188.114.99.233
jewishnews.com,188.114.97.1
justthenews.com,23.185.0.3
ivanovonews.ru,92.53.106.145
ironmountaindailynews.com,35.168.72.101
knightnews.com,199.250.194.87
lifesitenews.com,188.114.99.233
localnewspapers.today,188.114.96.1
manhattantimesnews.com,34.174.141.127
metrocebu.news,192.185.78.93
malaysiaworldnews.com,35.213.180.173
mixnews.lv,144.76.97.171
mondonews.ro,188.114.97.1
midianews.com.br,172.67.214.173
miragenews.com,188.114.99.233
mynews4.com,3.164.230.77
mynews24x7.in,162.214.81.13
nationalnewswatch.com,188.114.99.233
myvuenews.com,34.174.186.49
nenevalleynews.co.uk,45.131.137.89
neutralgroundnews.com,67.222.31.239
news.detik.com,103.49.221.187
news.world,154.49.142.217
news.trust.org,44.215.203.247
news.yahoo.com,87.248.119.251
news24online.com,192.0.66.239
news4jax.com,23.215.0.137
newsantaana.com,67.222.20.13
newsbiscuit.com,23.236.62.147
newsbytes.ph,170.187.230.39
newsbugz.com,188.114.96.1
newschannelnebraska.com,54.145.205.131
newsbytesapp.com,104.94.100.163
newshub.us,188.114.97.1
newskarnataka.com,188.114.96.1
newsletter.co.uk,34.105.168.53
newsmedia.com,86.105.245.69
newsmobile.in,23.139.0.1
newslocker.com,104.21.21.27
newsthump.com,188.114.99.233
newstalk.com,188.114.99.233
newstodaynet.com,188.114.97.1
newstrend.news,104.21.49.29
nigeriannewspapers.today,109.228.51.133
nophonews.com,188.114.96.1
newstalkzb.co.nz,188.114.99.233
newsx.com,139.84.177.81
nknews.org,188.114.99.233
onlinenews.com.pk,188.114.96.1
osthessen-news.de,188.114.99.233
oceans-news.com,91.234.194.113
osnews.com,188.114.96.1
panewsmedia.org,141.193.213.11
phhsnews.com,188.114.97.1
pi-news.net,192.124.249.15
positive.news,188.114.99.233
piquenewsmagazine.com,188.114.99.233
revolver.news,188.114.99.233
riverheadnewsreview.timesreview.com,141.193.213.21
readovka.news,188.114.96.1
roanoke-chowannewsherald.com,23.185.0.253
rochellenews-leader.com,65.61.154.7
richmond-news.com,188.114.99.233
roarnews.co.uk,172.67.198.99
sachsenews.com,188.114.97.1
seaislenews.com,23.235.206.145
sindonews.com,108.157.229.75
solentnews.co.uk,198.49.23.145
southernminnesotanews.com,188.114.96.1
siliconhillsnews.com,209.17.116.165
sunnewsonline.com,104.21.58.201
thechampionnewspaper.com,35.212.102.61
suntimesnews.com,162.240.234.243
theisleofthanetnews.com,188.114.96.1
thefactnews.in,66.33.206.223
thescarboroughnews.co.uk,34.105.168.53
tickernews.co,184.168.106.203
topnews.in,181.214.133.201
topnewsrussia.ru,95.181.226.17
tnews.co.th,104.19.130.75
tuoitrenews.vn,123.30.128.21
uktodaynews.com,69.167.139.177
tylerstarnews.com,34.231.188.1
voanews.com,104.94.100.171
westorlandonews.com,160.153.0.153
webpronews.com,188.114.99.233
windomnews.com,35.208.109.243
wylienews.com,188.114.99.233
z-news.link,157.90.2.159
bvinews.com,188.114.97.1
zaronews.world,188.114.97.1
news.co.uk,54.76.240.177
abcnews4.com,108.156.22.65
ajnews.com,15.197.148.33
alabama-news.com,212.224.112.219
allthewebnews.com,15.204.210.49
alpenhornnews.com,172.234.222.143
alexandrianews.org,188.114.99.233
aptoscommunitynews.org,68.66.226.75
asianews.network,172.67.207.237
banner-news.com,76.223.67.189
austincountynewsonline.com,188.114.96.1
attractnews.com,154.62.104.245
beachcomber.news,192.252.144.35
ariananews.af,192.124.249.7
bhavnagarnews.in,188.114.96.1
bigvalleynews.com,108.167.161.63
capitalhillnews.com,188.114.99.233
calcoastnews.com,159.135.28.65
chivonanewsomeforcongress.com,23.111.167.173
ciironews.com,198.251.84.141
christiannewsalerts.com,139.144.172.13
cityofcostamesanews.com,70.40.206.197
community-news.com,65.61.154.7
consortiumnews.com,188.114.99.233
cocknews.com,172.67.169.225
crestedbuttenews.com,104.238.71.109
currentnewspapers.com,188.114.97.1
dailyarchnews.com,188.114.96.1
delawareohionews.com,35.208.169.239
dispatchnews.com,208.91.62.27
eaglenewsonline.com,188.114.96.1
eastoftheriverdcnews.com,35.212.66.141
eastidahonews.com,54.71.37.39
fetchyournews.com,104.21.41.169
evros-news.gr,176.119.210.225
fox4news.com,2.18.121.15
glamnews.ro,172.67.205.221
greyareanews.com,162.244.254.211
greatnewsnetwork.org,104.21.25.107
guthrienewspage.com,192.124.249.169
highlandnews.net,103.224.212.227
heraldnewstn.com,162.0.217.41
highlandernews.org,172.67.194.161
hyannisnews.com,199.167.131.21
idahonews.com,108.156.22.53
homernews.com,141.193.213.11
informingnews.com,188.114.99.233
iorbitnews.com,172.67.190.107
inewsnetwork.net,104.21.46.105
hobbsnews.com,167.99.108.201
irannewswire.org,35.206.67.75
jeffcountynews.com,162.144.182.123
kbn.news,45.76.150.141
journal-news.com,3.210.191.227
lafayettestudentnews.com,172.67.173.121
linncountynews.net,69.163.236.195
lloydsnews.info,188.114.97.1
lismorecitynews.com.au,3.164.206.37
luminanews.com,188.114.96.1
lifelinews.com,173.236.192.237
machiasnews.com,188.114.97.1
metrocebu.news,192.185.78.93
metravelnews.com,216.239.34.21
minotdailynews.com,35.168.72.101
morningjournalnews.com,18.165.140.95
mychinews.com,45.137.159.155
mydigitalnews.in,157.245.111.81
nethnews.lk,188.114.96.1
news-banner.com,69.174.53.189
news-bulletin.com,192.104.182.109
news.bahai.org,3.72.140.173
news.err.ee,162.159.136.61
news.emory.edu,34.199.209.45
news.net.pk,104.21.57.213
news.skykiwi.com,47.91.41.49
news.wfu.edu,54.225.93.217
news5cleveland.com,3.164.206.49
newschannel9.com,108.156.22.107
newsday.com,52.55.30.171
newselfnewlife.com,172.67.179.71
nextgennews.org,192.0.78.25
newszice.online,168.235.117.125
onenewscafe.com,13.248.213.45
norwoodnews.org,50.87.249.23
orangetownnews.com,75.2.70.75
observernews.net,192.252.149.31
phnews.asia,104.21.69.167
plumasnews.com,35.215.92.43
prnewswire.co.uk,104.17.18.111
prophecynewswatch.com,184.171.251.103
prnewswire.com,188.114.99.233
rivernewsonline.com,188.114.97.1
rednewsmarketing.com,51.77.27.223
rvpnews.com,160.153.0.181
sachnewstv.com,69.49.227.239
santaclaranews.org,192.0.78.183
salemnews.net,52.85.49.21
sciencedaily.news,188.114.97.1
sfnewsdaily.com,188.114.96.1
seskhonanews.co.za,129.232.136.229
shoshonenewspress.com,208.91.62.27
sierranewsonline.com,141.193.213.11
spectatornews.com,188.114.97.1
suffolkcountynews.net,65.61.154.195
swarkansasnews.com,72.167.32.223
targetlinenews.com,50.28.41.31
thealpenanews.com,34.192.28.127
theexaminernews.com,64.151.229.7
thebilingualnews.com,185.230.63.171
thegoodnewspaper.net,185.230.63.107
thejournal-news.net,65.61.154.195
thenews-gazette.com,188.114.96.1
thenorthfieldnews.com,188.114.97.1
theroundupnews.com,192.124.249.69
theoakleafnews.com,188.114.97.1
thesheetnews.com,35.215.80.129
thestarnewsnetwork.com,188.114.97.1
thetigernews.com,172.67.169.37
tolosapressnews.com,188.114.96.1
towncriernews.com,69.65.4.129
ultimas.news,5.187.2.147
upvnews.com,174.138.182.35
trend-news.com,172.67.165.199
vinnews.com,188.114.96.1
villijnews.com,108.167.165.1
washingtonnewsobserver.com,91.223.123.83
wylienews.com,188.114.99.233
centranews.com.gt,188.114.96.1
campograndenews.com.br,52.67.253.57
ecuadornews.com.ec,65.181.111.179
es.euronews.com,151.101.65.91
infonews.com,104.21.95.147
elsolnews.com,52.0.33.187
guadanews.es,188.114.96.1
noticiasdelmundo.news,188.114.96.1
noticiasacapulconews.com,188.114.97.1
newsweekespanol.com,188.114.97.1
vacamuertanews.com,104.21.92.13
afriqueitnews.com,35.214.176.129
alyaexpress-news.com,172.67.206.251
gabonews.com,69.195.111.31
libnanews.com,172.67.172.69
news.orange.fr,193.252.148.147
africaleadnews.com,109.234.164.141
factornews.com,62.210.209.59
news.abidjan.net,174.36.71.107
news1.co.il,188.114.99.233
newsy.hu,87.229.6.29
telecomnews.co.il,54.76.177.85
newspaperhunt.com,91.108.123.29
abruzzonews.eu,217.182.174.223
artistanews.com,104.21.80.165
atnews.it,5.135.123.71
aostanews24.it,46.252.149.91
castelvetranonews.it,188.114.99.233
brevenews.com,89.46.105.77
casertanews.it,95.110.224.15
bergamonews.it,5.135.123.73
chenews.it,51.254.5.187
chioggianews24.it,35.214.172.55
daunianews.it,89.46.106.13
dayitalianews.com,194.76.116.43
crotone24news.it,86.107.36.17
gaianews.it,86.107.36.55
gonews.it,93.186.242.107
express-news.it,51.75.66.41
leccenews24.it,104.21.57.65
liguria2000news.it,194.76.118.11
metronews.it,195.201.168.7
molisenews24.it,217.182.174.223
montecarlonews.it,89.31.200.9
napolinewstoday.it,54.36.129.93
newsbiella.it,89.31.200.11
newsmondo.it,188.114.99.233
newsitaliane.it,135.181.185.57
notonews.it,93.186.242.31
positanonews.it,5.135.123.85
primapaginanews.it,62.94.137.237
puntoagronews.it,185.201.65.169
potenzanews.net,51.68.110.219
rainews.it,212.162.68.91
torinonewsworld.it,35.214.155.121
twnews.it,172.67.193.215
socialnews.it,188.40.217.69
teramonews.com,188.114.96.1
triesteallnews.it,188.114.99.233
veronanews.net,188.114.96.1
webnews.it,95.110.149.207
youreporternews.it,51.255.103.219
frattamaggiorenews.com,89.46.105.45
lacittanews.it,3.73.102.185
fsnews.it,184.31.15.193
legnanonews.com,81.21.26.117
newsprima.it,217.61.52.169
giustizianews24.it,89.46.105.33
ungherianews.com,172.67.147.115
vergatonews24.it,159.65.120.181
upgo.news,154.62.104.45
paesenews.it,31.11.36.23
asianews2ch.jp,183.181.83.69
tgnewstv.it,89.46.108.75
classicnews.jp,165.232.97.51
373news.com,61.205.65.89
ict-enews.net,120.136.13.27
hollywood-news.jp,183.181.99.39
news-us.org,188.114.99.233
jomo-news.co.jp,163.49.35.113
news.tv-asahi.co.jp,151.101.2.41
newsoku.blog,188.114.96.1
newsphere.jp,35.79.184.77
rocketnews24.com,192.0.66.143
newscrypto.jp,188.114.97.1
tanakanews.com,153.126.146.105
videonews.com,153.126.205.49
getnews.jp,188.114.99.233
ibarakinews.jp,203.138.97.165
newsmatomedia.com,188.114.96.1
newswitch.jp,18.165.122.57
newspicks.com,3.164.230.15
fuji-news.net,153.122.205.47
news.ameba.jp,199.232.213.91
news.fresheye.com,108.156.22.27
news.bikebros.co.jp,54.65.219.121
news.golfdigest.co.jp,18.165.140.71
news.nifty.com,3.164.59.109
news.nicovideo.jp,18.165.140.55
news.ritlweb.com,160.16.225.239
news.tennis365.net,153.125.232.105
news.tv-asahi.co.jp,151.101.2.41
soranews24.com,192.0.66.143
weathernews.jp,3.164.206.93
1koreannews.com,15.197.148.33
news-ade.com,43.202.81.147
e2news.com,115.85.179.41
fnnews.com,222.233.53.199
newscham.net,211.255.23.35
newsis.com,188.114.99.233
newsfortes.com,49.50.163.15
newspeppermint.com,188.114.96.1
00news.co.kr,101.101.208.75
akomnews.com,121.78.246.169
asantopnews.com,121.78.144.171
bcdailynews.com,154.41.233.107
assemblynews.co.kr,101.101.219.173
bokuennews.com,175.123.252.5
bundangnews.co.kr,121.78.144.203
anewsa.com,114.108.129.91
bucheonnews.net,49.50.164.97
ccnnews.co.kr,121.125.77.229
cnews041.com,121.78.144.69
ctnews.co.kr,121.78.144.69
cunews.net,183.111.174.41
daejeonnews.kr,118.67.128.247
datanews.co.kr,58.229.240.179
dynews1.com,121.125.77.219
ebundangnews.co.kr,101.101.219.173
enews.incheon.go.kr,152.99.40.43
enews.dobong.go.kr,210.104.126.19
ejanews.co.kr,118.67.128.247
efnews.co.kr,121.125.77.229
enewstoday.co.kr,49.50.174.225
fsnews.co.kr,121.125.77.195
gnnews.co.kr,118.219.253.215
gnews.gg.go.kr,27.101.100.185
gnopennews.com,101.101.219.173
hjbreaknews.com,121.78.144.193
hsinews.com,121.78.144.203
inewsdesk.com,15.197.148.33
inthenews.co.kr,121.78.127.53
igoodnews.net,121.125.77.241
jngoodnews.co.kr,121.78.144.193
kdfnews.com,121.125.77.219
kpnews7.co.kr,121.78.144.203
kongnews.net,49.50.164.97
kportalnews.co.kr,121.125.77.239
medifonews.com,121.78.127.105
nanumnews.com,121.78.144.69
najunews.kr,101.101.208.75
news.suseong.kr,152.99.39.7
news.unn.net,27.96.132.181
news2day.co.kr,49.50.168.145
newshankuk.com,188.114.98.233
newspower.co.kr,121.78.144.69
newsreal.co.kr,77.37.55.233
newstapa.org,43.200.0.159
newstown.co.kr,114.200.196.101
newsunion.co.kr,13.124.166.189
newstomato.com,114.31.52.121
newsty.net,101.101.208.75
nyjnews.net,121.78.144.69
ntmnews.co.kr,121.78.144.177
newsworks.co.kr,101.101.208.75
onanews.net,121.78.144.193
newswatch.kr,49.50.164.97
outdoornews.co.kr,121.125.77.195
polinews.co.kr,101.101.208.75
