domain,ns_record
machiasnews.com,"garret.ns.cloudflare.com.,deborah.ns.cloudflare.com."
messenger-news.com,"yolanda.ns.cloudflare.com.,lennon.ns.cloudflare.com."
missoulanews.com,"ines.ns.cloudflare.com.,ray.ns.cloudflare.com."
news-bulletin.com,"todd.ns.cloudflare.com.,olga.ns.cloudflare.com."
news-reporter.com,"felipe.ns.cloudflare.com.,aleena.ns.cloudflare.com."
newselfnewlife.com,"alina.ns.cloudflare.com.,norman.ns.cloudflare.com."
newsfinale.com,"heidi.ns.cloudflare.com.,jakub.ns.cloudflare.com."
newssloth.com,"janet.ns.cloudflare.com.,frank.ns.cloudflare.com."
patriotmoneynews.com,"david.ns.cloudflare.com.,pam.ns.cloudflare.com."
patriotnewsnetwork.com,"stella.ns.cloudflare.com.,cameron.ns.cloudflare.com."
postxnews.com,"katja.ns.cloudflare.com.,garret.ns.cloudflare.com."
prnewswire.com,"ara.ns.cloudflare.com.,bart.ns.cloudflare.com."
rivernewsonline.com,"nola.ns.cloudflare.com.,jermaine.ns.cloudflare.com."
sewardcitynews.com,"zelda.ns.cloudflare.com.,david.ns.cloudflare.com."
sfnewsdaily.com,"pearl.ns.cloudflare.com.,corey.ns.cloudflare.com."
spectatornews.com,"owen.ns.cloudflare.com.,sima.ns.cloudflare.com."
themaconcountynews.com,"dora.ns.cloudflare.com.,pete.ns.cloudflare.com."
thenews-gazette.com,"eva.ns.cloudflare.com.,west.ns.cloudflare.com."
thenorthfieldnews.com,"mia.ns.cloudflare.com.,seamus.ns.cloudflare.com."
thenewsfront.com,"kay.ns.cloudflare.com.,walt.ns.cloudflare.com."
theoakleafnews.com,"owen.ns.cloudflare.com.,sima.ns.cloudflare.com."
thestarnewsnetwork.com,"maciej.ns.cloudflare.com.,fatima.ns.cloudflare.com."
thetigernews.com,"tess.ns.cloudflare.com.,ian.ns.cloudflare.com."
tolosapressnews.com,"rihana.ns.cloudflare.com.,ned.ns.cloudflare.com."
usnewsbreak.com,"jean.ns.cloudflare.com.,igor.ns.cloudflare.com."
trend-news.com,"jay.ns.cloudflare.com.,eva.ns.cloudflare.com."
vinnews.com,"amir.ns.cloudflare.com.,venus.ns.cloudflare.com."
villages-news.com,"sara.ns.cloudflare.com.,giancarlo.ns.cloudflare.com."
wylienews.com,"aragorn.ns.cloudflare.com.,reza.ns.cloudflare.com."
bigbangnews.com,"chuck.ns.cloudflare.com.,suzanne.ns.cloudflare.com."
infonews.com,"dana.ns.cloudflare.com.,clyde.ns.cloudflare.com."
noticiasacapulconews.com,"karsyn.ns.cloudflare.com.,javon.ns.cloudflare.com."
newsweekespanol.com,"jade.ns.cloudflare.com.,glen.ns.cloudflare.com."
vacamuertanews.com,"cruz.ns.cloudflare.com.,abdullah.ns.cloudflare.com."
alyaexpress-news.com,"violet.ns.cloudflare.com.,gordon.ns.cloudflare.com."
libnanews.com,"oswald.ns.cloudflare.com.,elinore.ns.cloudflare.com."
lesnewsdunet.com,"kianchau.ns.cloudflare.com.,kara.ns.cloudflare.com."
artistanews.com,"neil.ns.cloudflare.com.,cortney.ns.cloudflare.com."
newsit24.com,"ingrid.ns.cloudflare.com.,burt.ns.cloudflare.com."
teramonews.com,"dolly.ns.cloudflare.com.,johnathan.ns.cloudflare.com."
ungherianews.com,"sasha.ns.cloudflare.com.,wells.ns.cloudflare.com."
dailynewsagency.com,"leah.ns.cloudflare.com.,achiel.ns.cloudflare.com."
newsmatomedia.com,"nelly.ns.cloudflare.com.,chuck.ns.cloudflare.com."
inews24.com,"jean.ns.cloudflare.com.,lars.ns.cloudflare.com."
newsis.com,"val.ns.cloudflare.com.,gerald.ns.cloudflare.com."
newspeppermint.com,"sid.ns.cloudflare.com.,lana.ns.cloudflare.com."
newshankuk.com,"betty.ns.cloudflare.com.,etienne.ns.cloudflare.com."
