domain,ip,ns_record,http_status_code,title_tag
larachenews.com,188.114.97.1,"['casey.ns.cloudflare.com.', 'shaz.ns.cloudflare.com.']",200,الرئيسية - العرائش نيوز - Larachenews
lananews.com,216.172.184.218,"['ns8444.hostgator.com.', 'ns8443.hostgator.com.']",406,Not Acceptable!
fananews.com,172.67.182.194,"['jonah.ns.cloudflare.com.', 'april.ns.cloudflare.com.']",200,Fana News -
marocnews24.com,91.216.107.154,"['expired2.namebrightdns.com.', 'expired1.namebrightdns.com.']",200,Site en cours d'installation
medi1news.com,188.114.99.233,"['zara.ns.cloudflare.com.', 'max.ns.cloudflare.com.']",200,"Medi1 News -  أخبار المغرب المحلية والدولية، إفريقيا والعالم"
mehrnews.com,185.143.233.102,"['j.ns.arvancdn.ir.', 'n.ns.arvancdn.ir.']",200,"خبرگزاری مهر | اخبار ایران و جهان | Mehr News Agency
        "
mashreghnews.ir,185.49.84.74,"['ns6.nastooh.ir.', 'ns5.nastooh.ir.']",200,مشرق نیوز
nashwannews.com,104.21.63.48,"['aida.ns.cloudflare.com.', 'logan.ns.cloudflare.com.']",200,الرئيسية - نشوان نيوز
neworientnews.com,144.76.109.81,"['ns2.neworientnews.com.', 'ns1.neworientnews.com.']",200,الرئيسية - الشرق الجديد
news33.ma,104.21.93.80,"['meera.ns.cloudflare.com.', 'micah.ns.cloudflare.com.']",200,الرئيسية - News33 news33.ma جريدة إلكترونية مغربية شاملة- Journal électronique au Maroc.
news-alwaled.com,193.180.221.30,"['ns-1453.awsdns-53.org.', 'ns-391.awsdns-48.com.', 'ns-776.awsdns-33.net.', 'ns-1557.awsdns-02.co.uk.']",200,キャンプの基礎知識
newsqr.com,191.101.230.44,"['ns2.dns-parking.com.', 'ns1.dns-parking.com.']",200,"Newsqr: Breaking, Sports, Latest News"
qbsnews.com,188.114.97.1,"['bryce.ns.cloudflare.com.', 'martha.ns.cloudflare.com.']",200,Qbsnews.com Berita Terbaru Hari Ini Paling Update
q8news.com,188.166.166.113,"['ns1.digitalocean.com.', 'ns3.digitalocean.com.', 'ns2.digitalocean.com.']",200,اخبار الكويت و العالم - كويت نيوز
pal-news.net,104.206.12.153,"['b.share-dns.net.', 'a.share-dns.com.']",,
sahranews.com,15.197.148.33,"['ns10.domaincontrol.com.', 'ns09.domaincontrol.com.']",,
sabanews.net,188.114.97.1,"['damiete.ns.cloudflare.com.', 'paloma.ns.cloudflare.com.']",404,404 Not Found
sarayanews.com,54.38.30.232,"['ns66.domaincontrol.com.', 'ns65.domaincontrol.com.']",200,وكالة أنباء سرايا الإخبارية - حرية سقفها السماء
shorouknews.com,62.67.203.100,"['beth.ns.cloudflare.com.', 'dale.ns.cloudflare.com.']",200,"
	بوابة الشروق
"
sehhanews.com,65.108.230.244,"['ns1.first-ns.de.', 'robotns3.second-ns.com.', 'robotns2.second-ns.de.']",200,صحة نيوز
sunanews.net,104.21.96.38,"['alaric.ns.cloudflare.com.', 'tori.ns.cloudflare.com.']",200,Sudan News Agency-SUNA وكالة السودان للانباء-سونا
syriadailynews.com,188.114.97.1,"['ed.ns.cloudflare.com.', 'jean.ns.cloudflare.com.']",200,سيريا ديلي نيوز - syriadailynews  
tanjanews.com,85.10.192.167,"['toby.ns.cloudflare.com.', 'dora.ns.cloudflare.com.']",200,مجلة طنجة نيوز
walnews.com,172.67.185.226,"['cora.ns.cloudflare.com.', 'owen.ns.cloudflare.com.']",200, الصفحة الرئسية - وكالة الأنباء اللبنانية - وال 
tishreen.news.sy,212.11.196.181,"['ns2.inet.sy.', 'ns1.inet.sy.']",403,
yafa-news.net,188.114.96.1,"['eoin.ns.cloudflare.com.', 'nadia.ns.cloudflare.com.']",200,يافع نيوز - دقة مصداقية تميز
3danews.ir,89.32.248.197,"['ns584.mihanwebhost.com.', 'ns583.mihanwebhost.com.']",200,پایگاه خبری تحلیلی نبأخبر
almethaqnews.com,172.67.194.106,"['tara.ns.cloudflare.com.', 'doug.ns.cloudflare.com.']",200,"
الميثاق نيوز"
bajnews.net,94.130.3.236,"['jasmine.ns.cloudflare.com.', 'logan.ns.cloudflare.com.']",200,باج نيوز – اخبار السودان الاعلامية السياسية الرياضية الاجتماعيةالثقافية
bigulnews.tv,161.97.171.14,"['arnold.ns.cloudflare.com.', 'jasmine.ns.cloudflare.com.']",,
janaojananews.net,188.114.96.1,"['joel.ns.cloudflare.com.', 'collins.ns.cloudflare.com.']",200,Jana Ojana News – News That Matters
bdnews24us.com,15.235.181.184,"['sg22.noc223.com.', 'sg21.noc223.com.']",200,bdnews24us.com | 
jvpnews.com,108.157.229.10,"['ns-63.awsdns-07.com.', 'ns-1830.awsdns-36.co.uk.', 'ns-588.awsdns-09.net.', 'ns-1224.awsdns-25.org.']",200,"JVP NEWS - Tamil News, Tamil News, Lankasri, Tamil web news, Tamilcnn"
maannews.net,104.21.233.162,"['gwen.ns.cloudflare.com.', 'lars.ns.cloudflare.com.']",200,وكـالـة مـعـا الاخـبـارية
malayalamnewsdaily.com,188.114.97.1,"['dawn.ns.cloudflare.com.', 'andy.ns.cloudflare.com.']",200,Malayalam News |
pknewspaper.com,188.114.97.1,"['yevgen.ns.cloudflare.com.', 'irma.ns.cloudflare.com.']",200,Online Newspaper in Pakistan | پاکستانی اخبارات وجرائد
shorouknews.com,62.67.203.100,"['beth.ns.cloudflare.com.', 'dale.ns.cloudflare.com.']",200,"
	بوابة الشروق
"
ntnews.com,3.164.68.106,"['ns-319.awsdns-39.com.', 'ns-1028.awsdns-00.org.', 'ns-635.awsdns-15.net.', 'ns-1937.awsdns-50.co.uk.']",200,Namasthe Telangana : Telugu News |Telangna news |Latest Telugu News | తెలుగు వార్తలు
urdunewsksa.com,77.37.55.51,"['ns1.dns-parking.com.', 'ns2.dns-parking.com.']",200,URDU NEWS KSA » Urdunewsksa.com - Urdu News Ksa
7news1.com,93.127.163.201,"['ns1.dns-parking.com.', 'ns2.dns-parking.com.']",200,السابعة الإخبارية - منصة إخبارية إماراتية
w3newspapers.com,188.114.99.233,"['cass.ns.cloudflare.com.', 'amir.ns.cloudflare.com.']",403,Just a moment...
eslahatnews.com,5.61.26.98,"['ns75.zoneiran.com.', 'ns74.zoneiran.com.']",,
arknews.net,104.21.49.213,"['jake.ns.cloudflare.com.', 'cortney.ns.cloudflare.com.']",200,الرئيسية | ARK News
hamariduniyanews.com,103.172.151.230,"['ns50.dnshostserver.in.', 'ns51.dnshostserver.in.']",200,ہوم - Hamari Duniya
alforatnews.iq,188.114.96.1,"['norm.ns.cloudflare.com.', 'raphaela.ns.cloudflare.com.']",200,الفرات نيوز
huria.news,108.167.158.62,"['ns70.domaincontrol.com.', 'ns69.domaincontrol.com.']",406,Not Acceptable!
nabaanews.com,104.21.77.11,"['becky.ns.cloudflare.com.', 'hugh.ns.cloudflare.com.']",200,
mawtininews.com,91.108.123.152,"['ns1.dns-parking.com.', 'ns2.dns-parking.com.']",200,الصفحة الرئيسية - موطني نيوز
canadanewsarabic.com,208.91.197.208,"['ns2508.ztomy.com.', 'ns1508.ztomy.com.']",403,
news1.dk,195.242.130.99,"['ns2.jeppo-dns.dk.', 'ns1.jeppo-dns.dk.']",200,News1
inews.bg,78.128.6.162,"['ns1.novinitegroup.com.', 'ns2.novinitegroup.com.']",200,"Новините от България и света, иновации, днес - inews.bg"
news.dk,93.191.156.98,"['ns4-34.azure-dns.info.', 'ns2-34.azure-dns.net.', 'ns3-34.azure-dns.org.', 'ns1-34.azure-dns.com.']",555,555 Security Incident Detected
breaker.news,172.67.163.179,"['james.ns.cloudflare.com.', 'jule.ns.cloudflare.com.']",200,Breaker.News
newsoresund.dk,46.16.236.23,"['dns1.oderland.com.', 'dns3.oderland.com.', 'dns2.oderland.com.']",200,News Øresund Danmark - Dansk-svensk nyhedsbureau
kinzig.news,188.114.99.233,"['tess.ns.cloudflare.com.', 'graham.ns.cloudflare.com.']",200,KINZIG.NEWS - Nachrichten aus dem MKK
darmstadtnews.de,5.175.14.132,"['ns49.domaincontrol.com.', 'ns50.domaincontrol.com.']",200,DarmstadtNews.de | Nachrichten aus Darmstadt und Umgebung
muenster-news.de,85.13.145.114,"['ns5.kasserver.com.', 'ns6.kasserver.com.']",200,Münster News - Aktuelle Nachrichten aus Münster und dem Münsterland
ka-news.de,82.211.32.138,"['ns1025.ui-dns.com.', 'ns1063.ui-dns.org.', 'ns1082.ui-dns.de.', 'ns1027.ui-dns.biz.']",200,"      Karlsruhe News - KSC, Sport, Veranstaltungen, Karlsruhe
    "
loz-news.de,178.77.109.70,"['ns50.domaincontrol.com.', 'ns49.domaincontrol.com.']",200,Nachrichten für das Herzogtum Lauenburg
mrn-news.de,178.20.101.156,"['ns2.webspace-verkauf.de.', 'ns1.webspace-verkauf.de.', 'ns3.webspace-verkauf.de.']",200,"/// MRN-News.de – NACHRICHTEN , INFOS, UND EVENTS AUS DER METROPOLREGION RHEIN-NECKAR UND DER PFALZ"
news-times.ru,141.8.194.159,"['ns2.sprinthost.ru.', 'ns4.sprinthost.net.', 'ns1.sprinthost.ru.', 'ns3.sprinthost.net.']",200,ВРЕМЯ НОВОСТЕЙ - Информационно-новостной интернет портал
news.at,185.51.8.103,"['ns2.easyname.eu.', 'ns1.easyname.eu.']",200,Nachrichten aktuell • NEWS.AT
nex24.news,82.165.238.135,"['ns1025.ui-dns.de.', 'ns1027.ui-dns.biz.', 'ns1058.ui-dns.com.', 'ns1101.ui-dns.org.']",200,NEX24
pz-news.de,213.182.13.45,"['ns2.dns.speedkom.net.', 'ns1.dns.speedkom.net.']",200,PZ-news.de - Nachrichten aus Pforzheim und Enzkreis - Pforzheimer-Zeitung
news.heute.ch,212.243.197.119,,200,news.heute.ch | 22.06. 04:32 Uhr
darmstadtnews.de,5.175.14.132,"['ns49.domaincontrol.com.', 'ns50.domaincontrol.com.']",200,DarmstadtNews.de | Nachrichten aus Darmstadt und Umgebung
dnews.gr,188.114.99.233,"['kristin.ns.cloudflare.com.', 'beau.ns.cloudflare.com.']",200,"
            Dnews.gr Όλες οι ειδήσεις και τα νέα
        "
documentonews.gr,188.114.99.233,"['sam.ns.cloudflare.com.', 'zara.ns.cloudflare.com.']",200,Τελευταίες ειδήσεις για την Ελλάδα και τον Κόσμο. Έρευνα | Άποψη | Επικαιρότητα - Documento
rf-news.de,212.222.128.83,"['ns.ipn.de.', 'ns.link-m.de.']",,
inewsgr.com,188.114.96.1,"['pam.ns.cloudflare.com.', 'josh.ns.cloudflare.com.']",200,iNews: Ειδησεις Σημερα
mononews.gr,188.114.97.1,"['elliot.ns.cloudflare.com.', 'laura.ns.cloudflare.com.']",200,"Αποκαλυπτικό ρεπορτάζ, αρθρογραφία και άμεση ενημέρωση, με όλα τα τελευταία νέα και ειδήσεις για την Οικονομία, τις Επιχειρήσεις, το Χρηματιστήριο, το Bitcoin, τις πολιτικές εξελίξεις και τον πολιτισμό"
news.gr,188.114.99.233,"['luke.ns.cloudflare.com.', 'lisa.ns.cloudflare.com.']",200,"News.gr – Ειδήσεις και Άμεση Ενημέρωση. Ειδήσεις τώρα, από την Οικονομία, Ελλάδα και τον Κόσμο. Ενημέρωση για Επιχειρήσεις, Τεχνολογία & Αυτοκίνητο."
newsbeast.gr,188.114.99.233,"['lisa.ns.cloudflare.com.', 'luke.ns.cloudflare.com.']",,
15minutenews.com,172.67.223.231,"['chan.ns.cloudflare.com.', 'kaiser.ns.cloudflare.com.']",200,Popular News | 15 Minute News - Know the News
10news.com,3.164.206.49,"['ns-1628.awsdns-11.co.uk.', 'ns-655.awsdns-17.net.', 'ns-1528.awsdns-63.org.', 'ns-508.awsdns-63.com.']",200,"ABC 10News San Diego | 10News.com | San Diego, California News and Weather"
20minutenews.com,76.223.67.189,"['ns72.domaincontrol.com.', 'ns71.domaincontrol.com.']",,
abcnews.go.com,3.164.206.70,"['ns-1655.awsdns-14.co.uk.', 'ns-710.awsdns-24.net.', 'ns-1233.awsdns-26.org.', 'ns-267.awsdns-33.com.']",200,"ABC News - Breaking News, Latest News and Videos"
4bitnews.com,188.114.96.1,"['camilo.ns.cloudflare.com.', 'aspen.ns.cloudflare.com.']",200,"4bitnews.com - technology, internet and lifestyle"
7news.com.au,18.165.140.43,"['ns-604.awsdns-11.net.', 'ns-1247.awsdns-27.org.', 'ns-273.awsdns-34.com.', 'ns-1569.awsdns-04.co.uk.']",200,"7NEWS Australia: Latest news, sport, video, entertainment and lifestyle from Australia and the world"
africatimesnews.com,74.50.117.113,"['in.solidhosting.pro.', 'eu.solidhosting.pro.', 'sg.solidhosting.pro.', 'us.solidhosting.pro.']",200,Africa Times News - An Online News Network
amboynews.com,65.61.154.7,"['clint.ns.cloudflare.com.', 'rachel.ns.cloudflare.com.']",403,403 403
allbanglanewspaper.xyz,188.114.97.1,"['bob.ns.cloudflare.com.', 'rose.ns.cloudflare.com.']",200,List of All Bangladesh Newspapers - বাংলাদেশের সংবাদপত্রসমূহ
apnews.com,104.16.22.8,"['a9-67.akam.net.', 'a11-64.akam.net.', 'a28-66.akam.net.', 'a24-65.akam.net.', 'a10-67.akam.net.', 'a1-212.akam.net.']",200,"Associated Press News: Breaking News, Latest Headlines and Videos | AP News"
aptnnews.ca,188.114.99.233,"['eva.ns.cloudflare.com.', 'trace.ns.cloudflare.com.']",403,Attention Required! | Cloudflare
asamnews.com,104.21.74.99,"['millie.ns.cloudflare.com.', 'weston.ns.cloudflare.com.']",200,AsAmNews – News about the Asian American and Pacific Islander communities
asianewstoday.com,172.67.175.241,"['candy.ns.cloudflare.com.', 'elmo.ns.cloudflare.com.']",200,Asia News Today – Breaking News Around You
artnews.com,192.0.66.64,"['ns-865.awsdns-44.net.', 'ns-96.awsdns-12.com.', 'ns-1151.awsdns-15.org.', 'ns-1557.awsdns-02.co.uk.']",200,ARTnews.com – The Leading Source for Art News & Art Event Coverage
areanews.com.au,3.164.206.106,"['ns-392.awsdns-49.com.', 'ns-1630.awsdns-11.co.uk.', 'ns-720.awsdns-26.net.', 'ns-1073.awsdns-06.org.']",200,"Griffith news, sport and weather | The Area News | Griffith, NSW"
baigenews.kz,88.204.166.3,"['ns1.hoster.kz.', 'ns2.hoster.kz.', 'ns3.hoster.kz.']",200,Новости Казахстана и мира на сегодня - свежие новости РК на BaigeNews.kz
bdnews24.com,104.21.57.238,"['eve.ns.cloudflare.com.', 'derek.ns.cloudflare.com.']",200,"bdnews24.com - Bangladesh largest news publisher by reach - 24/7, bilingual; content opened to public on 23 Oct 2006 "
asiannews.in,103.138.189.138,"['ns21.iserverplanet.net.', 'ns22.iserverplanet.net.']",200,Asian News | International News | Latest and Breaking News | Syndication
au.news.yahoo.com,87.248.100.208,,200,Australian News Headlines | World News Now
beforeitsnews.com,172.67.141.76,"['hans.ns.cloudflare.com.', 'eva.ns.cloudflare.com.']",200,Before It's News | People Powered News
banglanews24.com,104.16.51.58,"['vick.ns.cloudflare.com.', 'april.ns.cloudflare.com.']",200,bangla news and entertainment 24x7 - banglanews24.com
bcn-news.com,172.67.217.96,"['reza.ns.cloudflare.com.', 'guss.ns.cloudflare.com.']",200,"Braxton Citizens News | Devoted to Braxton County - Devoted to Braxton County, West Virginia"
bnonews.com,172.67.170.15,"['ram.ns.cloudflare.com.', 'jacqueline.ns.cloudflare.com.']",200,"BNO News - Breaking News, Developing Stories, Latest News Videos"
begadistrictnews.com.au,3.164.206.106,"['ns-994.awsdns-60.net.', 'ns-481.awsdns-60.com.', 'ns-1088.awsdns-08.org.', 'ns-2010.awsdns-59.co.uk.']",200,"Bega news, sport and weather | Bega District News | Bega, NSW"
blastingnews.com,212.97.32.174,"['ns-419.awsdns-52.com.', 'ns-604.awsdns-11.net.', 'ns-1290.awsdns-33.org.', 'ns-1726.awsdns-23.co.uk.']",200,Blasting News: breaking news and videos from the world. Experts and live debates.
blog-news.doorblog.jp,147.92.146.242,,200,ぶろにゅー
bnn-news.com,165.232.117.47,"['dns41.cloudns.net.', 'dns42.cloudns.net.', 'dns44.cloudns.net.', 'dns43.cloudns.net.']",200,Home - Baltic News Network
breakingnewsenglish.com,50.28.36.70,"['ns1.breakingnewsenglish.com.', 'ns2.breakingnewsenglish.com.']",403," 403 Forbidden
"
breakingnews.ie,172.67.140.59,"['donna.ns.cloudflare.com.', 'jake.ns.cloudflare.com.']",200,BreakingNews.ie | Irish News | Breaking News from Ireland
britishnewspaperarchive.co.uk,194.247.74.44,"['armfazh.ns.cloudflare.com.', 'suzanne.ns.cloudflare.com.']",200,Home | Search the archive | British Newspaper Archive
callnewspapers.com,209.188.91.70,"['ns3.dnsimple.com.', 'ns4.dnsimple-edge.org.', 'ns1.dnsimple.com.', 'ns2.dnsimple-edge.net.']",200,St. Louis Call Newspapers – South St. Louis County News
buzzfeednews.com,151.101.2.114,"['ns-118.awsdns-14.com.', 'ns-1029.awsdns-00.org.', 'ns-1695.awsdns-19.co.uk.', 'ns-595.awsdns-10.net.']",200,BuzzFeed News | Breaking News | Original Reporting | News Analysis
cambrian-news.co.uk,172.67.140.238,"['vida.ns.cloudflare.com.', 'drew.ns.cloudflare.com.']",200,Cambrian News - local news at the heart of the community
cambridge-news.co.uk,52.214.102.229,"['ns-1539.awsdns-00.co.uk.', 'ns-1208.awsdns-23.org.', 'ns-80.awsdns-10.com.', 'ns-838.awsdns-40.net.']",200,"Cambridgeshire Live - News, Sport and Events from around Cambridge"
channeldailynews.com,188.114.96.1,"['serena.ns.cloudflare.com.', 'jasper.ns.cloudflare.com.']",403,Just a moment...
charismanews.com,188.114.99.233,"['kurt.ns.cloudflare.com.', 'yolanda.ns.cloudflare.com.']",200,Charisma News - Breaking News. Spiritual Perspective.
cbsnews.com,151.101.65.188,"['dns1.p09.nsone.net.', 'dns2.p09.nsone.net.', 'dns3.p09.nsone.net.', 'dns4.p09.nsone.net.', 'ns0004.secondary.cloudflare.com.', 'ns0243.secondary.cloudflare.com.']",200,"CBS News - Breaking news, 24/7 live streaming news & top stories"
channelnewsasia.com,54.68.182.72,"['ns-573.awsdns-07.net.', 'ns-246.awsdns-30.com.', 'ns-1994.awsdns-57.co.uk.', 'ns-1292.awsdns-33.org.']",200,"CNA: Breaking News, Singapore News, World and Asia"
cbs19news.com,100.25.172.61,"['ns74.domaincontrol.com.', 'ns73.domaincontrol.com.']",403,Attention Required! | Cloudflare
cijnews.com,159.69.186.9,"['ns3.ndsplitter.com.', 'ns1.ndsplitter.com.', 'ns2.ndsplitter.com.']",403,403 Forbidden
cheknews.ca,188.114.99.233,"['emily.ns.cloudflare.com.', 'chip.ns.cloudflare.com.']",200,"CHEK News - Independent, employee-owned."
countynewscenter.com,8.36.41.72,"['ns2.nexcess.net.', 'ns1.nexcess.net.', 'ns4.nexcess.net.', 'ns3.nexcess.net.']",200,San Diego County News Center | Direct To You
cultnews.com,5.161.48.153,"['ns1.culteducation.com.', 'ns2.culteducation.com.']",200,Cult News - Sponsored by the Cult Education Institute
cronkitenews.azpbs.org,104.17.123.190,,200,Cronkite News
cultnews.net,5.161.48.153,"['ns2.culteducation.com.', 'ns1.culteducation.com.']",200,The Cult News Network
cookcountynews-herald.com,74.84.144.174,"['ns3.superb.net.', 'ns5.superb.net.', 'ns4.superb.net.', 'ns6.superb.net.', 'ns2.superb.net.', 'ns1.superb.net.']",200,Home - Cook County News-Herald
currentschoolnews.com,172.67.221.201,"['ara.ns.cloudflare.com.', 'coby.ns.cloudflare.com.']",200,Home - Current School News  : Current School News
dailynews.com,192.0.66.2,"['ns15.dnsmadeeasy.com.', 'ns13.dnsmadeeasy.com.', 'ns14.dnsmadeeasy.com.', 'ns12.dnsmadeeasy.com.', 'ns10.dnsmadeeasy.com.', 'ns11.dnsmadeeasy.com.']",200,Los Angeles Daily News
dailynews.lk,172.67.158.134,"['elmo.ns.cloudflare.com.', 'emily.ns.cloudflare.com.']",403,Sucuri WebSite Firewall - Access Denied
dailynews.co.th,188.114.99.233,"['agustin.ns.cloudflare.com.', 'nia.ns.cloudflare.com.']",403,
delawarefreenews.org,108.167.143.76,"['ns8361.hostgator.com.', 'ns8362.hostgator.com.']",406,Not Acceptable!
dallascitynews.net,188.114.96.1,"['kip.ns.cloudflare.com.', 'rita.ns.cloudflare.com.']",200,"Dallas City News - Events, News and Programs for the City of Dallas."
dailynewsegypt.com,188.114.99.233,"['zelda.ns.cloudflare.com.', 'noah.ns.cloudflare.com.']",,
dodgecountynews.com,35.212.120.204,"['ns06.domaincontrol.com.', 'ns05.domaincontrol.com.']",200,The Dodge County News
detroitnews.com,151.101.86.62,"['dns3.p05.nsone.net.', 'ns02.gannett-dns.com.', 'dns2.p05.nsone.net.', 'dns1.p05.nsone.net.', 'ns03.gannett-dns.com.', 'ns04.gannett-dns.com.', 'dns4.p05.nsone.net.', 'ns01.gannett-dns.com.']",200,Detroit Local News - Michigan News - Breaking News - detroitnews.com
easyreadernews.com,162.159.135.42,"['ns65.domaincontrol.com.', 'ns66.domaincontrol.com.']",200,"Easy Reader Hermosa Beach News, Manhattan Beach News, Redondo Beach News - Manhattan Beach, Hermosa Beach, Redondo Beach news"
dailynewsview.com,216.239.32.21,"['ns4.supersitehost.com.', 'ns3.supersitehost.com.', 'ns2.supersitehost.com.', 'ns1.supersitehost.com.']",200,"
Daily News | local news, US news, world news and much more!
"
dunyanews.tv,50.117.94.2,"['dns2.dunyatv.tv.', 'dns1.dunyanews.tv.', 'ns3.dunyatv.tv.', 'ns5.dunyanews.tv.']",200,"Dunya News - Latest News, Pakistan News, World News, Sports News and Videos"
esciencenews.com,207.58.177.67,"['ns1.latestscience.net.', 'ns2.latestscience.net.']",200,(e) Science News | Latest science news articles
eenews.net,141.193.213.11,"['ns-857.awsdns-43.net.', 'ns-1974.awsdns-54.co.uk.', 'ns-496.awsdns-62.com.', 'ns-1174.awsdns-18.org.']",403,403 Forbidden
elonnewsnetwork.com,23.23.123.122,"['ns38.domaincontrol.com.', 'ns37.domaincontrol.com.']",200,Elon News Network
einnews.com,173.203.107.239,"['ns.newsmatics.com.', 'ns5.newsmatics.com.', 'ns3.newsmatics.com.']",200,Online Newswires and News Monitoring Service - EIN Presswire
eturbonews.com,188.114.96.1,"['dell.ns.cloudflare.com.', 'chuck.ns.cloudflare.com.']",403,Attention Required! | Cloudflare
english.kyodonews.net,52.40.44.99,,200,Kyodo News+ | Japan's leading news agency.
essexlive.news,52.18.249.148,"['ns-854.awsdns-42.net.', 'ns-1424.awsdns-50.org.', 'ns-408.awsdns-51.com.', 'ns-1591.awsdns-06.co.uk.']",200,"Essex Live - Latest local news, sport & business from Essex"
fitzrovianews.com,192.0.78.240,"['ns3.wordpress.com.', 'ns2.wordpress.com.', 'ns1.wordpress.com.']",200,"The Fitzrovia News - neighbourhood news, features, and comment"
fbnewsleader.com,104.196.37.2,"['ns19.domaincontrol.com.', 'ns20.domaincontrol.com.']",200,"News-Leader, Fernandina Beach Florida"
foxnews.com,23.212.169.13,"['ns04.dns.fox.', 'ns01.foxdoua.com.', 'ns04.foxdoua.com.', 'ns03.foxdoua.com.', 'ns02.foxdoua.com.', 'ns03.dns.fox.', 'ns02.dns.fox.', 'ns01.dns.fox.']",200,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
fenews.co.uk,188.114.99.233,"['deborah.ns.cloudflare.com.', 'clint.ns.cloudflare.com.']",200,FE News | From Education to Employment
globalnews.ca,192.0.66.184,"['ns-190.awsdns-23.com.', 'ns-1117.awsdns-11.org.', 'ns-663.awsdns-18.net.', 'ns-1893.awsdns-44.co.uk.']",,
