domain,http_status_code,title_tag
dayitalianews.com,200,Notizie Italia DAY - Dayitalianews
ekuonews.it,200,ekuonews.it – Le notizie su Teramo e l'Abruzzo
gaianews.it,200,Gaianews.it -
gonews.it,200,gonews.it il giornale online della toscana
dazebaonews.it,200,Dazebao - Il portale della scienza e della cultura - Dazebaonews
irpinianews.it,200,Home - Irpinianews.it
meridionews.it,200,Meridionews - MeridioNews è un giornale regionale online.
molisenews24.it,200,Molise news: ultime notizie Molise oggi
montecarlonews.it,200,"Montecarlonews.it - Notizie Montecarlo, Monaco, Mentone, Nizza, Antibes, Cannes, Costa Azzurra"
padovanews.it,200,Padovanews – il primo quotidiano online di Padova
orvietonews.it,200,Orvietonews.it | giornale online di Orvieto
politicanews.it,200,politicanews.it
sanremonews.it,200,"Sanremonews.it - Notizie provincia di Imperia - News e video in tempo reale di cronaca, politica, attualità, eventi"
twnews.it,200,"
        Italian news platform    "
teramonews.com,200,Teramonews.com
valtellinanews.it,200,Valtellina news
verbanonews.it,200,VerbanoNews - Le news del Lago Maggiore
webnews.it,200,Webnews - Informazione dal mondo digitale
legnanonews.com,200,LegnanoNews - Le news di Legnano e dell'Alto Milanese
upgo.news,200,upgo.news -
classicnews.jp,200,Classicnews.jp
373news.com,200,南日本新聞 - 鹿児島の情報サイト | 373news.com
news.tv-asahi.co.jp,200,テレ朝news
withnews.jp,200,withnews（ウィズニュース） | 気になる話題やネタをフカボリ取材（ウニュ）
news.tv-asahi.co.jp,200,テレ朝news
bcdailynews.com,200,"bcdailynews - Daily treanding news,sports,political news,sports news etc."
ctnews.co.kr,200,시티뉴스 http://www.ctnews.co.kr
foodnews.co.kr,200,식품저널 foodnews
newspago.com,200,[뉴스파고]http://www.newspago.com
newspower.co.kr,200,한국 교회의 나침반 뉴스파워(newspower.co.kr)
onanews.net,200,온아신문--http://www.onanews.net/
polinews.co.kr,200,폴리뉴스 Polinews
